Date,RTB 03-10,RTB 03-11,RTB 05-12,RTB 05-13,RTB 05-14,RTB 05-15,RTB 05-16,RTB 10-04,RTB 10-05,RTB 15-01,RTB 15-02,RTB 20-01,RTB 25-01
3/20/2019,,,97.20084738,,,,,43.97494944,56.78038968,84.89737406,77.64068219,83.65025722,80.58678148
3/21/2019,,,98.72902529,,,,,45.05399914,56.99837576,85.12755669,77.35972901,85.0979734,82.97298287
3/22/2019,,,97.60109847,,,,,44.49047544,56.62584243,85.90340846,76.98390691,84.68856781,82.41852322
3/25/2019,,,97.37751447,,,,,44.95665435,55.93104275,87.54313923,77.13690037,83.79089846,83.16188152
3/26/2019,,,96.59915996,,,,,44.65271851,55.68242863,87.62907246,76.81113204,82.09916079,81.38269585
3/27/2019,,,98.69260358,,,,,45.15005109,55.52680359,87.98328321,77.27269833,85.97952804,88.10953014
3/28/2019,,,102.7414692,,,,,48.36644714,55.19461566,88.35910216,76.97281711,83.64129755,90.0331713
3/29/2019,,,103.8023426,,,,,48.00091976,58.81871117,94.40499034,80.66293579,86.4453077,92.72023358
4/1/2019,,,102.0200641,,,,,47.56223243,55.69804959,97.14567822,80.13999119,85.86733508,92.17923571
4/2/2019,,,100.0106263,,,,,47.74365617,57.15679335,97.59135783,79.89703488,86.35318185,88.12847324
4/3/2019,,,98.6984727,,,,,47.63638522,56.15317118,98.05863455,74.70496496,86.09966316,89.93736562
4/4/2019,,,98.48414944,,,,,45.98563155,55.7597359,93.26744518,76.08327001,85.86001923,89.14276955
4/5/2019,,,98.61298779,,,,,47.65082791,52.61924555,93.79416834,75.87296436,85.63438972,89.01450459
4/8/2019,,,95.4402858,,,,,44.44846736,51.80407554,95.05105461,78.53193583,83.23097426,90.7578457
4/10/2019,,,94.25861142,,,,,46.73039846,51.04589918,96.31972313,78.23948788,80.38458911,91.57797366
4/11/2019,,,93.33461273,,,,,45.99584786,52.33438546,97.90874797,78.11353577,82.58387584,91.5927194
4/12/2019,,,92.21664511,,,,,45.36116978,51.58895335,98.60013462,78.00127892,80.30950646,90.84877254
4/15/2019,,,90.27693531,,,,,45.11416124,51.56870757,100.2811177,77.74805866,80.01988712,93.29364975
4/16/2019,,,90.00201837,,,,,45.4416328,50.47258303,95.63456956,77.69196855,79.16768798,93.59361508
4/17/2019,,,89.30746306,,,,,46.45912934,49.04450723,100.4059538,73.59220298,79.1186349,93.42721176
4/22/2019,,,88.15037564,,,,,47.2584808,48.17919135,101.7147409,70.43414277,77.83129898,96.43221879
4/24/2019,,,88.25423962,,,,,46.95534043,48.17847989,100.6946454,73.14180227,78.05857287,98.79032258
4/25/2019,,,89.78728373,,,,,48.17618676,49.25916455,100.0659243,73.22143349,75.26952515,99.06134066
4/26/2019,,,89.26477885,,,,,48.47841018,47.58207761,99.44859601,73.31730745,75.37568124,98.94459342
4/29/2019,,,89.04532378,,,,,48.28048126,48.36744477,95.07365543,72.66786568,77.55755301,96.37433583
4/30/2019,,,89.63066993,,,,,49.01804124,48.76229546,94.49493376,74.84085351,81.35670492,96.61230882
5/2/2019,,,92.74890974,,,,,51.38052003,44.83827584,93.37391955,75.21558241,85.44556039,97.35706823
5/3/2019,,,91.6490309,,,,,50.59552307,49.99423661,99.02593622,75.42885514,84.88756856,96.8512735
5/6/2019,,,93.26882022,,,,,52.39267238,50.27028316,97.52776957,76.9943853,85.18275433,94.85094894
5/7/2019,,,93.27561113,,,,,52.47615123,48.43595673,96.43299796,79.38123168,78.88836684,93.9766004
5/8/2019,,,93.217999,,,,,51.41161115,48.93942656,95.96970912,80.34259598,85.61109211,93.95567496
